t_hor,wdistStore
0,1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,
1,1.55,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,

